Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Dendrite,CellType
00704.swc,1558,12.5664,11,34,77,44,208.69,181.71,134,1.99872,2457.89,15443.4,7721.68,116.421,180.325,6,0.896737,19.2208,1,84.9187,69.2309,1.07917,basal,MTG
00705.swc,1786,10568.3,8,45,96,52,320.69,266.45,127,2.68078,3677.17,42420.4,170107,204.792,232.381,8,0.910568,17.5938,0.888117,73.1207,54.091,1.121,basal,MTG
00706.swc,1725,12.5664,10,47,102,56,259.08,194.44,129,2.28529,2694.19,30988.7,118226,157.917,189.207,8,0.895683,15.902,2.1554,77.3062,62.455,1.10695,basal,MTG
00707.swc,1938,15393.8,9,45,98,54,259.59,202.58,128,2.76643,3128.41,37595.4,223621,147.041,186,10,0.916134,18.7653,0.952148,77.9385,61.9841,1.13752,other,MTG
00708.swc,1581,11309.7,6,40,84,45,240.76,230.58,95,2.65621,2595.63,31483.4,163845,139.074,175.969,7,0.897162,17.8095,1.05671,67.7001,66.2707,1.13147,basal,MTG
00709.swc,1493,12.5664,8,41,88,48,193.42,201.27,87,1.99866,2220.15,13949.6,6974.82,125.871,148.269,7,0.883739,15.9545,1,88.7899,62.1395,1.08037,basal,SPL
00710.swc,1988,12.5664,7,45,96,52,219.89,258.18,124,1.99899,3035.61,19073.3,9536.66,146.678,196.514,9,0.901581,19.6979,1,83.777,58.9104,1.05373,other,STG
00711.swc,1978,12.5664,9,47,101,55,188.35,259.36,125,1.99899,3108.68,19532.4,9766.22,152.252,204.645,8,0.909256,18.5743,1,86.4373,57.8025,1.10994,other,STG
00712.swc,1623,12.5664,10,48,104,57,250.93,245.34,112,1.99877,2534.4,15924.1,7962.06,149.658,196.801,9,0.904225,14.5962,1,92.0653,61.2066,1.09217,basal,STG
00713.swc,1794,12.5664,9,46,99,54,204.62,224.98,132,1.99889,2762.26,17355.8,8677.91,137.414,186.97,8,0.893339,17.1111,1,76.3158,56.1344,1.07578,other,STG
00714.swc,827,12.5664,6,24,54,31,130.81,221.92,102,1.99758,1437.05,9029.24,4514.62,127.274,192.899,6,0.926619,14.2963,1,74.9839,63.0607,1.06351,other,STG
00715.swc,1087,12.5664,10,34,77,44,259.59,200.54,122,1.99816,1862.22,11700.7,5850.33,139.63,175.279,6,0.913946,13.1039,1,78.7714,63.7703,1.10246,basal,STG
00716.swc,1681,12.5664,7,44,93,50,237.2,247.88,114.86,1.99881,3385.7,21273,10636.5,155.963,235.779,7,0.913371,17.0645,1,70.3089,52.6774,1.12096,other,MFG
00717.swc,2383,12.5664,11,50,109,60,216.32,258.06,124,1.99916,3702.59,23264,11632,153.19,183.11,8,0.9152,20.8532,1,79.875,60.799,1.14212,basal,MFG
00718.swc,1838,12.5664,9,46,100,55,251.95,255.98,113,1.99891,2955.38,18569.2,9284.61,153.261,175.79,6,0.914183,17.37,1,79.9747,61.4443,1.1493,basal,MFG
00719.swc,2493,12.5664,12,61,133,73,184.2,247.71,112,1.9992,3898.97,24498,12249,142.627,179.195,7,0.903985,17.7368,1,87.2115,57.0627,1.15597,other,MFG
00720.swc,1721,12.5664,10,48,105,58,194.95,246.36,91,1.99884,2723.1,17109.8,8554.89,153.841,192.41,8,0.908805,15.381,1,72.2207,59.1486,1.13024,apical,MFG
00721.swc,1830,12.5664,9,40,87,48,216.83,257.04,88,1.99891,2783.81,17491.2,8745.61,143.769,176.639,6,0.902954,20.023,1,76.2421,53.9442,1.13767,other,MFG
00722.swc,667,12.5664,8,31,68,38,217.86,217.86,100.769,1.997,1975.2,12410.5,6205.27,127.744,148.269,5,0.929245,8.79412,1,69.4686,58.5207,1.06846,other,MFG
00723.swc,1051,12.5664,12,21,52,32,155.34,223.96,95,1.9981,1760.23,11059.8,5529.92,157.567,179.698,5,0.878156,19.1923,1,81.5996,63.4337,1.14105,other,MFG
00724.swc,1868,12.5664,10,36,80,45,228.99,258.57,91,1.99893,2912.78,18301.5,9150.76,139.591,161.215,6,0.899015,22.3375,1,81.3561,57.7847,1.11729,other,MFG
00725.swc,1973,12.5664,10,47,102,56,255.52,223.96,107,1.99899,3141.25,19737,9868.52,152.887,185.549,6,0.913167,18.3333,1,79.1543,54.7345,1.12428,basal,MFG
00726.swc,1664,13684.8,13,51,113,63,257.55,258.57,132,3.30416,4357.73,60964.6,357511,174.15,203.476,6,0.93529,13.7168,0.858423,68.2567,57.8658,1.13947,other,MFG
00727.swc,1766,12.5664,10,44,97,54,192.4,216.6,120,1.99887,2601.75,16347.3,8173.63,137.197,162.696,8,0.911257,17.1959,1,62.2496,55.4115,1.06388,basal,MFG
00728.swc,1345,12.5664,9,35,80,46,215.82,176.62,107,1.99851,2037.52,12802.1,6401.07,131.698,164.57,6,0.908484,15.8,1,84.0358,69.0887,1.03406,other,MFG
00729.swc,1395,12.5664,9,45,97,53,150.67,174.59,108,1.99857,2128.68,13374.9,6687.45,119.153,151.179,6,0.900814,13.3711,1,87.3105,67.3819,1.06938,apical,MFG
00730.swc,1413,12.5664,11,27,63,37,162.88,257.04,102,1.99858,2148.18,13497.4,6748.71,152.301,178.656,6,0.907802,21.4127,1,83.166,62.4548,1.1086,other,MFG
00731.swc,1475,12.5664,9,33,73,41,201.56,202.08,100,1.99864,2133.51,13405.2,6702.62,118.038,146.418,5,0.894332,19.1918,1,82.3885,70.2969,1.06271,other,MFG
00732.swc,1473,12.5664,11,33,75,43,164.92,257.04,106,1.99864,2214.67,13915.2,6957.59,151.43,189.227,6,0.901538,18.6267,1,71.4788,57.6237,1.11051,other,MFG
00733.swc,1447,12.5664,9,32,72,41,120.63,176.62,111,1.99862,2123.72,13343.7,6671.86,127.087,139.745,7,0.899715,19.0833,1,80.5503,61.6483,1.08271,other,MFG
00734.swc,1844,12.5664,9,45,97,53,240.25,222.94,122,1.99892,2773.89,17428.8,8714.42,152.846,184.924,7,0.916044,18,1,67.5372,61.017,1.06027,other,MFG
00735.swc,1046,12.5664,7,37,79,43,189.34,238.21,110.786,1.99809,2669.46,16772.7,8386.36,134.052,168.666,6,0.917682,12.2278,1,75.545,64.3166,1.1321,other,MFG
00736.swc,1407,12.5664,9,35,77,43,178.66,243.3,123,1.99858,2382.47,14969.5,7484.76,143.793,168.919,6,0.905004,17.2597,1,81.8993,61.269,1.12121,other,MFG
00737.swc,1676,12.5664,7,44,93,50,209.2,206.65,129,1.99881,2462.38,15471.6,7735.8,127.033,178.761,7,0.896049,17.0108,1,77.6727,65.4166,1.06538,other,MFG
00738.swc,2176,12.5664,10,42,92,51,215.82,255.29,125,1.99908,3177.32,19963.7,9981.85,173.356,209.579,6,0.898515,22.6413,1,72.17,58.8049,1.13946,other,MFG
00739.swc,2011,12.5664,9,59,130,72,305.78,291.54,109,1.99901,3580.02,22493.9,11247,188.354,235.688,7,0.914128,14.4615,1,64.4172,60.2678,1.08304,basal,MFG
00740.swc,2289,12.5664,12,55,121,67,253.57,339.68,123,1.99913,4247.73,26689.3,13344.6,196.37,226.059,8,0.919402,17.9091,1,85.2251,63.3388,1.11634,basal,MFG
00741.swc,1673,12.5664,9,40,87,48,219.89,260.1,104,1.9988,2463.97,15481.6,7740.78,165.821,204.404,8,0.911932,18.2184,1,79.3379,64.0481,1.09727,other,MFG
00742.swc,1542,12.5664,6,43,90,48,190.37,225.49,75,1.9987,2327.58,14624.6,7312.32,142.135,169.857,7,0.907829,16.1222,1,89.1072,62.6334,1.06429,basal,MFG
00743.swc,1501,12.5664,7,31,70,40,215.31,258.57,116.89,1.99867,2232.98,14030.2,7015.1,178.801,215.921,7,0.885905,20.4286,1,74.171,60.6928,1.09548,basal,MFG
00744.swc,2443,12.5664,10,49,106,58,241.77,257.05,138,1.99918,3780.41,23753,11876.5,160.844,192.666,6,0.918639,22.0377,1,72.7845,50.6424,1.11289,basal,MFG
00745.swc,1127,12.5664,12,32,74,43,192.86,185.84,86.978,1.99823,2209.58,13883.2,6941.6,143.217,196.187,8,0.901174,14.2162,1,79.6437,69.7332,1.05584,other,MFG
00746.swc,1561,12.5664,8,49,104,56,202.07,183.98,66,1.99872,2394.43,15044.7,7522.33,130.001,148.936,6,0.90861,14,1,84.8826,64.3083,1.0981,basal,MFG
00747.swc,1960,12.5664,10,46,100,55,252.97,227.52,136.947,1.99898,3371.11,21181.3,10590.7,149.42,176.605,7,0.913798,18.59,1,84.8073,66.3046,1.14391,other,MFG
00748.swc,1400,12.5664,8,31,68,38,208.69,176.62,111,1.99857,2062.5,12959.1,6479.53,148.349,169.671,6,0.906937,19.5735,1,90.4585,70.0679,1.13948,basal,MFG
00749.swc,2075,12.5664,10,59,126,68,292.22,306.38,111,1.99904,4031.45,25330.3,12665.2,173.122,197.893,7,0.915066,15.4603,1,75.6168,60.011,1.14989,basal,MFG
00750.swc,1754,12.5664,12,43,96,54,225.1,246.8,98,1.99886,3393.54,21322.2,10661.1,152.251,181.344,5,0.909219,17.2604,1,72.8458,62.6682,1.1442,basal,MFG
00751.swc,2260,12.5664,13,55,123,69,294.93,334.25,108,1.99912,4203.39,26410.7,13205.4,189.58,232.084,6,0.901182,17.3659,1,86.3533,55.455,1.13154,basal,MFG
00752.swc,1234,12.5664,9,30,67,38,207.68,201.05,79,1.99838,1905.05,11969.8,5984.89,130.659,155.823,6,0.910641,17.403,1,94.0163,72.3696,1.0606,basal,MFG
00753.swc,954,12.5664,10,27,62,36,195.97,155.75,68,1.9979,1571.22,9872.27,4936.13,147.175,169.94,5,0.89003,14.371,1,75.0661,60.2769,1.11741,basal,MFG
00754.swc,2186,12.5664,11,40,91,52,259.59,234.65,121.986,1.99909,3302.01,20747.1,10373.6,151.05,173.254,7,0.909911,23.011,1,88.7712,55.7047,1.11145,basal,MFG
00755.swc,2339,12.5664,10,43,95,53,251.96,258.06,93,1.99914,3442.43,21629.4,10814.7,156.755,198.212,7,0.910175,23.6105,1,85.0769,68.5522,1.10576,basal,MFG
00756.swc,1739,12.5664,9,37,81,45,257.61,240.76,72,1.99885,2711.44,17036.5,8518.24,166.253,198.856,6,0.912292,20.4568,1,85.484,61.0438,1.12237,basal,MFG
00757.swc,3504,12.5664,13,61,133,73,332.89,343.07,124,1.99943,6385.97,40124.2,20062.1,207.805,269.641,7,0.910501,25.3383,1,80.3675,56.0766,1.13484,basal,MFG
00758.swc,2445,12.5664,9,72,151,80,264.42,309.84,113,1.99918,4343.44,27290.6,13645.3,210.061,254.004,11,0.920878,15.1854,1,83.1389,61.693,1.10905,basal,MFG
00759.swc,2550,12.5664,10,68,144,77,336.29,306.46,86,1.99922,4632.66,29107.9,14553.9,222.615,256.942,9,0.907373,16.7014,1,84.3249,59.146,1.12622,basal,MFG
00760.swc,1841,12.5664,9,52,112,61,337.64,341.71,119,1.99891,4723.63,29679.4,14839.7,213.08,246.292,6,0.931757,15.4286,1,78.6452,59.9999,1.07523,other,MFG
00761.swc,1243,12.5664,8,32,71,40,222.44,209.2,77,1.99839,1890.05,11875.6,5937.78,144.369,200.98,8,0.902997,16.493,1,78.1191,57.9919,1.09869,other,MFG
00762.swc,1020,12.5664,5,32,67,36,154.73,177.13,82,1.99804,1532.74,9630.48,4815.24,110.591,167.734,7,0.889205,14.209,1,88.5281,70.8204,1.07104,basal,MFG
00763.swc,1779,12.5664,8,38,82,45,242.8,235.67,91,1.99888,2691.8,16913.1,8456.53,150.851,188.402,6,0.896485,20.6829,1,80.8136,65.2047,1.09769,basal,MFG
00764.swc,1014,12.5664,7,32,69,38,225.49,157.29,83,1.99803,1545.67,9711.76,4855.88,119.882,148.597,8,0.893421,13.6812,1,80.5909,59.1261,1.07403,basal,MFG
00765.swc,2060,12.5664,9,51,110,60,258.57,257.55,99.769,1.99903,4006.9,25176.1,12588,158.788,189.348,7,0.908088,17.7182,1,86.4292,59.3664,1.12363,basal,MFG
00766.swc,1240,12.5664,7,43,91,49,252.46,229.05,104,1.99839,3588.08,22544.6,11272.3,160.893,195.305,7,0.910159,12.6154,1,84.7977,68.0387,1.17886,basal,MFG
00767.swc,1836,6082.12,18,50,116,67,256.54,257.89,122.496,2.64732,4975.29,60929.2,337596,184.539,226.959,6,0.931453,14.819,0.865388,74.5819,58.9398,1.14816,basal,MFG
00768.swc,2333,12.5664,12,45,100,56,239.23,228.03,95,1.99914,3478.47,21855.9,10928,171.081,202.116,7,0.910052,22.32,1,82.5726,61.8265,1.14671,other,MFG
00769.swc,1828,12.5664,11,41,91,51,200.55,240.25,96,1.99891,2736.1,17191.4,8595.71,175.594,199.563,7,0.91021,19.0769,1,84.541,72.5136,1.12997,other,MFG
00770.swc,1972,12.5664,8,50,108,59,292.91,258.31,102.481,1.99899,3568.34,22420.5,11210.3,174.939,214.668,8,0.92216,17.25,1,74.1399,53.6805,1.10107,apical,MFG
00771.swc,2740,12.5664,9,50,107,58,260.04,252.97,93,1.99927,4148.65,26066.7,13033.4,162.24,198.089,8,0.903379,24.5981,1,86.4582,57.0524,1.15173,basal,MFG
00772.swc,1498,12.5664,8,45,98,54,200.54,177.64,108.19,1.99866,2346.46,14743.2,7371.62,129.766,178.84,7,0.897471,14.2755,1,77.1114,63.2001,1.06527,other,MFG
00773.swc,1204,12.5664,10,36,81,46,161.36,138.96,66,1.99834,1844.61,11590,5795.01,96.9942,115.941,5,0.90475,13.8519,1,88.0325,68.7575,1.07197,other,MFG
00774.swc,2445,12.5664,12,50,110,61,332.22,315.27,172,1.99918,5845.88,36730.8,18365.4,190.33,223.717,6,0.913101,21.2182,1,77.6645,64.9441,1.10935,basal,MFG
00775.swc,2060,12.5664,10,39,86,48,256.02,256.03,117,1.99903,3028.51,19028.7,9514.35,154.1,196.922,6,0.906063,22.9419,1,87.7821,67.3795,1.1117,basal,MFG
00776.swc,2082,12.5664,10,34,76,43,257.55,256.65,97,1.99904,3064.22,19253,9626.52,152.138,199.177,5,0.901742,26.3816,1,86.1787,68.7414,1.11646,other,MFG
00777.swc,1411,12.5664,12,48,107,60,209.2,221.42,100,1.99858,2106.55,13235.8,6617.92,130.515,149.193,9,0.903279,12.1776,1,79.5886,59.2918,1.09081,other,MFG
00778.swc,1286,12.5664,8,34,74,41,160.33,198.51,116,1.99844,2006.11,12604.8,6302.39,118.667,136.409,6,0.914918,16.3649,1,72.0602,67.2378,1.05706,basal,MFG
00779.swc,2549,12.5664,9,46,99,54,257.04,230.06,111,1.99922,3560.21,22369.5,11184.7,142.251,185.407,6,0.886868,24.7374,1,94.6452,59.363,1.15048,basal,STG
00780.swc,1282,12.5664,8,27,60,34,222.43,224.97,91,1.99844,1894.1,11901,5950.5,130.941,162.404,7,0.902439,20.35,1,80.1522,64.7271,1.05691,basal,STG
00781.swc,1380,12.5664,10,47,102,56,207.68,160.33,101,1.99855,2132.15,13396.7,6698.36,137.866,182.738,10,0.900781,12.5196,1,82.2117,62.2028,1.17337,other,STG
00782.swc,1165,12.5664,12,28,66,39,170.52,200.04,91,1.99828,1901.54,11947.7,5973.85,119.058,173.866,7,0.896694,16.6364,1,90.4113,76.8949,1.0772,apical,STG
00783.swc,947,12.5664,9,21,49,29,194.68,197.5,85.93,1.99789,1531.53,9622.88,4811.44,149.604,177.455,6,0.878204,18.3061,1,78.0389,67.7546,1.04527,basal,STG
00784.swc,1975,12.5664,10,33,75,43,248.9,241.78,124,1.99899,3070.55,19292.8,9646.42,168.208,208.794,6,0.895562,25.32,1,89.9838,59.3285,1.11216,basal,STG
00785.swc,1351,12.5664,9,32,71,40,217.85,174.07,132,1.99852,2145.17,13478.5,6739.26,127.565,154.254,7,0.896317,18.0141,1,73.5428,62.6774,1.04735,other,STG
00786.swc,1357,12.5664,13,23,57,35,148.62,174.08,95,1.99853,2072.31,13020.7,6510.36,120.017,146.801,4,0.876954,22.7895,1,68.7863,57.28,1.08027,other,STG
00787.swc,1785,12.5664,8,37,81,45,250.94,212.76,121,1.99888,2528.54,15887.3,7943.64,141.44,164.933,7,0.882902,21.0247,1,76.5577,57.1226,1.08962,basal,STG
00788.swc,2594,12.5664,11,41,91,51,257.56,249.41,145,1.99923,3713.37,23331.8,11665.9,154.995,192.551,6,0.879568,27.4945,1,89.2437,63.5929,1.10742,other,STG
00789.swc,1461,12.5664,10,38,84,47,215.82,167.47,103,1.99863,2190.32,13762.2,6881.09,118.422,153.781,6,0.901326,16.381,1,86.0025,58.3678,1.05859,other,STG
00790.swc,1204,12.5664,9,34,75,42,209.2,196.48,81,1.99834,1968.62,12369.2,6184.6,138.82,170.561,7,0.885744,15.04,1,94.1974,74.1562,1.12718,other,STG
00791.swc,1413,12.5664,12,33,76,44,228.03,159.32,110,1.99858,2275.28,14296,7148.01,123.091,160.72,7,0.890033,17.5789,1,75.0503,55.1666,1.15516,other,STG
00792.swc,1737,12.5664,9,43,93,51,297.04,264.42,139,1.99885,3359.79,21110.2,10555.1,187.504,244.049,7,0.91442,17.6667,1,76.1697,57.0575,1.07968,other,STG
