Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Dendrite,CellType
00001.swc,908,12.5664,4,26,54,29,179.4,189.06,68,1.9978,1282.02,8055.14,4027.57,108.238,145.454,9,0.910708,15.7963,1,71.9308,63.2672,1.05668,apical,MFG
00002.swc,766,12.5664,10,23,55,33,112.7,131.23,106,1.99739,1219.4,7661.71,3830.85,93.6695,133.987,8,0.90899,12.9091,1,77.5144,60.0782,1.06867,apical,MFG
00003.swc,487,12.5664,6,17,38,22,106.72,90.62,84,1.99589,747.247,4695.09,2347.55,82.5559,101.606,6,0.917509,11.7895,1,64.3675,56.5385,1.06939,basal,MFG
00004.swc,666,12.5664,6,18,40,23,159.62,166.52,79.99,1.997,977.99,6144.89,3072.45,107.838,132.476,6,0.911433,15.625,1,92.741,62.5257,1.03781,basal,MFG
00005.swc,1749,12.5664,8,40,86,47,223.1,230.92,104,1.99886,2541.14,15966.4,7983.22,140.56,161.228,5,0.913278,19.3256,1,88.4347,60.4203,1.06136,basal,MFG
00006.swc,1777,12.5664,8,31,68,38,213.9,223.56,107.333,1.99887,2453.58,15416.3,7708.14,137.154,181.27,7,0.904862,25.1176,1,75.2592,55.862,1.10505,basal,MFG
00007.swc,1707,12.5664,8,34,74,41,208.23,228.16,109,1.99883,2359.53,14825.4,7412.69,138.434,171.635,6,0.905079,22.0541,1,85.6293,60.213,1.06552,basal,MFG
00008.swc,1639,12.5664,8,33,72,40,206.08,218.04,109,1.99878,2361.59,14838.3,7419.14,136.945,184.344,6,0.902644,21.75,1,76.245,59.6427,1.07386,basal,MFG
00009.swc,331,12.5664,7,9,23,15,89.7,110.4,69,1.99396,514.962,3235.6,1617.8,69.8929,90.0881,5,0.893078,13.3478,1,96.8593,84.9055,0.988306,basal,MFG
00010.swc,1061,12.5664,9,29,65,37,176.64,177.56,115,1.99811,1546.29,9715.63,4857.82,109.459,143.344,7,0.913161,15.3077,1,93.5309,69.2974,1.06552,basal,MFG
00011.swc,1143,12.5664,10,37,82,46,164.22,149.96,87,2.07772,2209.04,16069.6,16140.2,121.641,145.165,7,0.884647,12.9268,1.23346,68.6476,74.3468,1.11178,basal,MFG
00012.swc,536,12.5664,4,17,36,20,152.26,142.6,98.28,1.99627,794.77,4993.69,2496.84,103.214,133.509,5,0.913519,13.8611,1,83.2998,67.8519,1.07128,other,MFG
00013.swc,790,12.5664,8,23,53,31,142.6,115.31,94,1.99747,1136.29,7139.5,3569.75,105.575,136.449,5,0.896873,13.8868,1,75.1379,66.8359,1.06982,other,MFG
00014.swc,1309,25048.1,11,47,104,58,230.92,209.76,149,2.24216,2827.57,27813.7,50328.8,149.186,209.496,9,0.932346,11.5769,0.863606,69.6407,59.4678,1.10682,other,MFG
00015.swc,736,12.5664,9,19,45,27,138.92,161,133,2.21796,1366.53,12637.9,34648.5,137.143,171.988,6,0.911099,15.3333,1.83247,68.1696,56.7873,1.05112,other,MFG
00016.swc,924,12.5664,10,22,52,31,181.24,168.34,132,1.99784,1392.13,8747.01,4373.5,140.295,188.318,6,0.895855,16.75,1,105.297,69.9828,1.07978,apical,MFG
00017.swc,564,12.5664,7,14,33,20,152.72,147.03,70,1.99645,814.213,5115.85,2557.93,104.139,114.763,5,0.905272,16.0606,1,61.7736,54.1252,1.08992,other,MFG
00018.swc,999,12.5664,9,26,59,34,167.9,126.5,140,1.998,1416.58,8900.61,4450.31,129.759,172.213,7,0.891451,15.9153,1,91.7516,66.9269,1.04591,other,MFG
00019.swc,737,12.5664,8,22,50,29,142.6,135.7,100,1.99729,1152.38,7240.6,3620.3,100.54,114.936,7,0.910525,13.72,1,83.84,55.5434,1.08831,basal,MFG
00020.swc,1177,12.5664,9,24,55,32,210.22,170.97,93.63,1.9983,1697.2,10663.8,5331.91,127.27,170.991,6,0.889123,20.3818,1,93.0801,73.7841,1.08254,apical,MFG
00021.swc,1468,12.5664,6,30,64,35,231.84,199.18,113,1.99864,1993.02,12522.5,6261.25,140.758,209.593,7,0.869889,21.9219,1,90.0413,62.8075,1.07108,apical,MFG
00022.swc,776,12.5664,6,18,40,23,181.24,185.84,89,1.99742,1099.4,6907.71,3453.85,151.157,196.9,7,0.882122,18.375,1,91.8706,78.4214,1.08649,basal,MFG
00023.swc,1431,12.5664,10,42,92,51,234.14,232.15,128,2.09729,2642.34,19966.6,18659.9,158.362,186.126,10,0.924267,14.5435,1.13722,71.2516,59.0831,1.12442,apical,MFG
00024.swc,2135,12.5664,9,43,93,51,231.38,207.92,99,1.99906,2897.56,18205.9,9102.96,168.168,207.755,10,0.893966,21.9462,1,66.7694,61.0064,1.1295,other,MFG
00025.swc,944,12.5664,6,19,42,24,234.55,185.38,77.81,1.99788,1281.46,8051.63,4025.81,150.734,195.521,5,0.891277,21.4524,1,87.612,57.205,1.10799,apical,MFG
00026.swc,1400,12.5664,12,28,67,40,192.28,170.2,105,1.99857,2089.65,13129.6,6564.82,127.957,195.799,7,0.894976,19.8806,1,84.6417,61.3399,1.09162,basal,MFG
00027.swc,1330,5541.77,12,35,81,47,201.1,207.92,82,2.13556,2481.08,20112.2,22185.3,150.608,175.604,6,0.914681,15.4074,0.768099,58.5162,50.724,1.14739,other,MFG
00028.swc,1778,12.5664,6,38,80,43,206.54,189.98,134,1.99888,2460.12,15457.4,7728.69,141.836,205.231,8,0.891708,21.2125,1,87.5557,66.3291,1.06629,apical,MFG
00029.swc,1920,10399.2,13,56,123,68,233.22,233.22,110,2.24393,3314.73,29865.6,61550.2,161.622,196.826,8,0.912462,14.6016,0.829583,72.7529,57.6178,1.1432,other,MFG
00030.swc,1342,12.5664,10,38,84,47,189.98,235.06,141,2.14633,2481.04,20246.1,33703.2,160.461,183.951,7,0.926854,14.9643,1.20422,71.0956,53.4693,1.0678,apical,MFG
00031.swc,1107,12.5664,8,33,73,41,191.36,234.9,126,2.17887,2079.84,15739.6,14406.9,151.608,172.379,8,0.919611,14.1507,1.07085,64.307,58.8232,1.08135,apical,MFG
00032.swc,492,12.5664,7,8,21,14,132.48,121.44,83,1.99593,735.085,4618.68,2309.34,86.5151,120.016,4,0.869698,22.381,1,56.961,63.2419,1.08719,basal,MFG
00033.swc,1404,12.5664,9,32,71,40,200.56,146.74,104,1.99858,1938.25,12178.4,6089.18,163.321,207.424,7,0.88345,18.7606,1,81.1327,61.3604,1.11276,other,MFG
00034.swc,661,12.5664,7,15,36,22,204.24,135.7,128,1.99697,1014.91,6376.84,3188.42,117.756,153.32,5,0.885039,17.3333,1,89.63,60.4274,1.0472,other,MFG
00035.swc,477,12.5664,7,13,31,19,96.6,127.42,85,1.99581,712.713,4478.11,2239.06,100.478,129.53,5,0.890227,14.3548,1,100.466,74.5216,1.06612,basal,MFG
00036.swc,1188,12.5664,8,29,64,36,227.7,116.38,143.33,1.99832,1633.43,10263.1,5131.56,132.935,176.586,8,0.902556,17.5469,1,69.2745,60.7536,1.04866,basal,MFG
00037.swc,785,12.5664,8,16,38,23,124.66,136.62,80,1.99745,1157.39,7272.08,3636.04,98.2009,124.993,6,0.88548,19.6316,1,67.9526,65.4699,1.05799,basal,MFG
00038.swc,575,12.5664,8,17,40,24,96.14,107.52,78,1.99652,845.653,5313.4,2656.7,73.4956,91.5133,5,0.88905,13.35,1,100.721,72.0894,1.07689,other,MFG
00039.swc,366,12.5664,5,15,33,19,58.42,136.16,75,1.99454,508.578,3195.49,1597.74,92.5438,113.733,7,0.90822,10.0606,1,88.4663,71.6553,1.07566,basal,MFG
00040.swc,767,4350.73,10,28,64,37,144.9,140.3,99,2.25341,1547.4,15692.8,24561.1,100.098,120.225,4,0.916534,10.9688,0.819562,67.1136,57.1011,1.06382,other,MFG
00041.swc,487,12.5664,6,14,32,19,132.02,88.78,57,1.99589,714.867,4491.64,2245.82,89.2134,122.749,5,0.883174,14.1875,1,81.3455,55.0206,1.05475,basal,MFG
00042.swc,625,12.5664,7,15,35,21,144.9,123.28,89,1.9968,936.051,5881.38,2940.69,110.039,130.75,4,0.877613,16.8286,1,85.3132,69.1991,1.0454,basal,MFG
00043.swc,1157,12.5664,8,34,75,42,133.4,145.36,114,1.99827,1521.81,9561.81,4780.91,87.5525,131.716,6,0.893432,14.4133,1,70.5601,69.9214,1.06854,apical,MFG
00044.swc,1671,6082.12,8,62,133,72,203.98,235.06,127,2.12545,2911.81,25267.5,45061,134.809,172.607,10,0.923378,11.5564,0.896598,60.3036,55.6372,1.05751,apical,MFG
00045.swc,2196,12.5664,8,61,129,69,233.68,233.22,129,1.99909,3763.62,23647.5,11823.8,172.984,213.656,10,0.913293,16.0155,1,71.3537,52.4823,1.131,apical,MFG
00046.swc,889,8494.87,9,17,42,26,234.14,233.68,128,2.22634,1947.74,17765,21450.9,156.625,206.629,4,0.920084,20.1429,0.634515,82.9289,58.7938,1.07081,other,MFG
00047.swc,971,12.5664,10,24,56,33,168.82,233.48,121,2.36295,1957.14,19121.6,55898.2,131.733,170.274,7,0.905862,16.3214,2.7181,64.2716,60.6092,1.11003,other,MFG
00048.swc,1392,12.5664,7,40,85,46,234.14,234.6,144,1.99856,3176.58,19959,9979.51,170.342,196.118,8,0.913783,15.3647,1,82.8745,62.884,1.05419,other,MFG
00049.swc,499,12.5664,4,13,28,16,101.2,155.94,44,1.99599,716.398,4501.26,2250.63,90.6942,119.897,5,0.88685,16.7857,1,97.0203,75.3207,1.09368,basal,SFG
00050.swc,663,12.5664,9,16,39,24,122.36,105.34,63,1.99698,1019.66,6406.69,3203.34,92.5725,113.951,4,0.895253,15.9744,1,81.4598,82.0045,1.08583,basal,SFG
00051.swc,336,12.5664,5,7,17,11,179.86,101.66,52,1.99405,550.123,3456.53,1728.26,93.6246,118.046,5,0.861959,18.7059,1,82.7777,62.5612,1.04716,basal,SFG
00052.swc,1150,12.5664,6,34,73,40,128.8,173.34,75,1.99826,1430.7,8989.34,4494.67,109.936,148.92,9,0.894192,14.7397,1,76.0636,70.4752,1.06656,apical,SFG
00053.swc,1169,4076.03,6,32,68,37,233.68,159.16,81,2.14115,1925.98,17137.2,28827.6,131.073,163.855,7,0.905556,16.1765,0.816171,59.4764,50.085,1.05988,other,SFG
00054.swc,501,12.5664,4,23,48,26,108.1,114.08,72,1.99601,718.44,4514.09,2257.05,82.6854,94.8083,9,0.915075,9.41667,1,84.1994,61.0702,1.06359,other,SFG
00055.swc,354,12.5664,5,12,27,16,85.72,84.18,53,1.99435,469.086,2947.35,1473.68,60.6639,82.3458,5,0.894872,12.0741,1,92.8835,71.1673,1.03569,apical,SFG
00056.swc,451,12.5664,6,15,35,21,91.54,106.26,58,1.99557,612.673,3849.53,1924.77,81.071,107.204,7,0.887611,11.8571,1,64.4979,63.2975,1.04652,apical,SFG
00057.swc,267,12.5664,6,8,20,13,90.16,106.26,48,1.99251,410.847,2581.43,1290.71,82.8275,100.233,4,0.909304,12.3,1,101.874,76.6615,1.05026,other,SFG
00058.swc,372,12.5664,5,14,31,18,115,58.86,69,1.99462,498.705,3133.45,1566.73,91.4761,110.681,9,0.907554,10.9677,1,65.0718,61.1737,1.03019,apical,SFG
00059.swc,903,12.5664,7,24,53,30,132.94,103.55,82,1.99779,1196.27,7516.39,3758.2,100.531,176.537,8,0.907508,16.0189,1,88.7714,68.4053,1.11914,basal,SFG
00060.swc,774,12.5664,6,21,47,27,187.22,102.12,78.92,1.99742,1034.11,6497.54,3248.77,114.978,133.234,8,0.88172,15.4468,1,75.2901,68.8713,1.1294,apical,SFG
00061.swc,1277,12.5664,12,38,86,49,189.06,212.06,79,2.15141,2297.2,19412.9,44905.9,131.715,156.15,7,0.90526,13.8372,1.39489,79.0923,68.4502,1.09628,other,SFG
00062.swc,368,12.5664,8,10,26,17,116.84,96.13,74,1.99457,555.448,3489.98,1744.99,85.6318,104.096,5,0.918794,13.1154,1,98.8534,71.4339,1.05118,other,SFG
00063.swc,924,12.5664,8,32,70,39,174.8,121.44,86,1.99784,1293.59,8127.88,4063.94,111.393,130.798,7,0.896168,12.1857,1,87.5259,65.284,1.10476,other,SFG
00064.swc,1138,8494.87,11,32,73,42,212.06,203.78,96,2.81887,2019.69,24677.4,88968.2,131.711,157.388,7,0.921465,14.5753,0.964709,87.9108,60.9569,1.07018,other,SFG
00065.swc,837,12.5664,9,30,67,38,146.74,203.32,91,2.19073,1345.01,11416.3,16070.1,142.058,161.212,6,0.890159,11.4776,1.37107,81.1234,65.532,1.08311,other,SFG
00066.swc,973,7238.23,7,24,53,30,202.86,176.64,86,2.67871,1658.72,18901.9,72858.5,132.559,159.917,5,0.916995,17.3396,0.990071,69.4684,57.3998,1.0463,other,SFG
00067.swc,1438,12.5664,10,29,67,39,230.92,147.2,136,1.99861,2011.6,12639.3,6319.64,139.522,188.796,7,0.882927,20.4478,1,69.716,55.1899,1.05847,other,IPL-near-AG
00068.swc,1999,12.5664,9,40,87,48,197.34,231.84,186,1.999,2775,17435.8,8717.91,149.77,187.481,7,0.89866,21.9655,1,89.4483,61.4769,1.09047,basal,IPL-near-AG
00069.swc,2534,22167.1,10,62,132,71,235.06,235.01,210,2.1227,4456.1,37312.2,47545.5,188.983,214.443,11,0.919504,18.1894,0.868711,72.6125,60.4106,1.08991,other,IPL-near-AG
00070.swc,2214,12.5664,7,36,77,42,233.22,205.62,126,1.9991,3078.72,19344.2,9672.09,190.378,227.402,13,0.874829,27.7403,1,95.8503,73.8827,1.09948,basal,IPL-near-AG
00071.swc,2132,12.5664,11,33,77,45,235.06,233.68,106,1.99906,2963.79,18622,9311.02,173.872,230.299,8,0.891806,26.6753,1,91.1097,69.124,1.0579,basal,IPL-near-AG
00072.swc,1228,12.5664,6,30,64,35,221.72,196.42,98,1.99837,1694.06,10644.1,5322.06,155.893,191.727,6,0.900952,18.1719,1,80.6691,64.1602,1.047,basal,IPL-near-AG
00073.swc,1666,12.5664,8,34,74,41,212.98,228.62,82.144,1.9988,2228.88,14004.5,7002.23,143.831,180.201,7,0.898323,21.5,1,72.0899,59.8825,1.06535,apical,IPL-near-AG
00074.swc,386,12.5664,6,16,36,21,110.86,70.38,61.14,1.99482,589.593,3704.52,1852.26,79.305,100.504,6,0.904646,9.69444,1,86.5661,57.9048,1.10867,basal,IPL-near-AG
00075.swc,408,12.5664,6,17,38,22,164.03,86.02,62,1.9951,637.191,4003.59,2001.79,92.9498,103.547,6,0.914646,9.71053,1,88.9267,60.0799,1.07739,apical,IPL-near-AG
00076.swc,1009,12.5664,8,20,47,28,209.3,150.88,105,1.99802,1392.81,8751.27,4375.64,130.49,173.736,6,0.896137,20.4468,1,67.6522,63.9589,1.06009,apical,IPL-near-AG
00077.swc,1636,12.5664,12,32,74,43,218.04,187.68,108,1.99878,2349.28,14761,7380.48,116.692,149.863,6,0.897152,21.0946,1,97.6234,72.437,1.10484,basal,IPL-near-AG
00078.swc,615,12.5664,9,21,49,29,149.5,121.9,64,1.99675,898.655,5646.42,2823.21,115.384,130.614,8,0.910503,11.5306,1,59.0971,50.6863,1.11114,apical,IPL-near-AG
00079.swc,548,12.5664,6,11,26,16,153.64,168.82,65,1.99635,781.519,4910.43,2455.21,120.317,147.782,6,0.894625,20.0385,1,83.4312,74.1708,1.0313,apical,IPL-near-AG
00080.swc,417,12.5664,6,10,24,15,186.3,86.84,74,1.9952,653.198,4104.17,2052.08,126.508,142.261,6,0.90376,16.3333,1,87.6866,70.575,1.01994,apical,IPL-near-AG
00081.swc,869,12.5664,5,22,47,26,219.42,159.94,58.93,1.9977,1255.82,7890.54,3945.27,132.242,153.017,7,0.895656,17.4681,1,85.3758,62.4624,1.04087,apical,IPL-near-AG
00082.swc,1520,12.5664,8,32,70,39,226.58,230.82,93,1.99868,2232.37,14026.4,7013.19,145.969,170.667,8,0.897112,20.7,1,86.2782,65.6468,1.0761,apical,IPL-near-AG
00083.swc,1891,12.5664,10,36,80,45,233.68,227.7,85,1.99894,2634.48,16552.9,8276.45,166.677,199.71,7,0.900913,22.625,1,73.4194,57.1951,1.13124,apical,IPL-near-AG
00084.swc,1694,12.5664,10,34,76,43,147.2,203.32,88,1.99882,2371.9,14903.1,7451.55,146.093,177.304,7,0.91449,21.2763,1,78.4975,57.1343,1.10319,other,IPL-near-AG
00085.swc,1632,12.5664,6,42,89,48,234.6,188.14,85,1.99877,2180.22,13698.7,6849.36,152.535,190.7,11,0.903449,17.3258,1,78.8674,64.432,1.10045,basal,IPL-near-AG
00086.swc,2145,12.5664,9,45,97,53,233.53,231.84,92,1.99907,2984.8,18754.1,9377.04,148.481,186.171,7,0.91044,21.1031,1,73.8932,61.656,1.12801,other,IPL-near-AG
00087.swc,685,12.5664,5,23,49,27,145.36,121.9,56,1.99708,911.548,5727.42,2863.71,96.6767,117.426,6,0.895993,12.9592,1,86.7145,64.3815,1.09021,basal,IPL-near-AG
00088.swc,907,12.5664,6,24,52,29,178.26,200.1,69,1.99779,1263.08,7936.2,3968.1,121.365,147.02,8,0.896405,16.4231,1,89.6053,57.3156,1.10804,basal,IPL-near-AG
00089.swc,536,12.5664,6,16,36,21,239.07,87.05,48,1.99627,920.435,5783.26,2891.63,159.501,175.253,6,0.903076,13.8611,1,88.9055,72.5445,1.1431,other,IPL-near-AG
00090.swc,1328,12.5664,11,30,69,40,230,150.88,64,1.99849,1932.47,12142.1,6071.04,133.088,174.201,8,0.898165,18.2319,1,87.1529,71.9355,1.17306,basal,IPL-near-AG
00091.swc,810,12.5664,7,17,39,23,200.56,154.56,83,1.99753,1159.71,7286.69,3643.34,120.987,163.767,6,0.901372,19.7436,1,79.9924,66.5906,1.04084,basal,IPL-near-AG
00092.swc,600,12.5664,7,20,46,27,141.22,118.68,46,1.99667,848.433,5330.86,2665.43,91.3315,106.375,6,0.88171,12.0217,1,93.9044,67.6499,1.15,basal,IPL-near-AG
00093.swc,1842,12.5664,7,39,83,45,235.06,235.06,162.283,2.06653,3685.21,26156.5,23593.5,166.691,211.61,7,0.918031,21.1807,1.21636,67.7231,51.8186,1.09388,other,IPL-near-AG
00094.swc,1026,12.5664,7,19,43,25,212.52,182.16,84.04,1.99805,1395.04,8765.32,4382.66,173.303,201.393,7,0.890539,22.8372,1,77.2874,63.8089,1.09922,basal,IPL-near-AG
00095.swc,594,12.5664,9,18,43,26,105.8,126.5,90,1.99663,875.069,5498.22,2749.11,82.1527,101.606,6,0.903982,12.7907,1,86.4595,57.971,1.06501,other,IPL-near-AG
00096.swc,1828,12.5664,9,36,79,44,191.36,230,125,1.99891,2491.91,15657.1,7828.56,155.559,188.073,7,0.899892,22.1266,1,73.2267,70.5657,1.12325,other,IPL-near-AG
00097.swc,891,12.5664,6,17,38,22,222.18,165.28,114,1.99776,1274.26,8006.42,4003.21,142.427,173.139,6,0.889699,22.4211,1,85.2135,61.967,1.09541,other,IPL-near-AG
00098.swc,2065,12.5664,6,44,92,49,225.4,231.38,141,1.99903,2753.12,17298.3,8649.17,161.262,211.555,13,0.899145,21.4348,1,80.3838,62.815,1.1238,apical,IPL-near-AG
00099.swc,1400,12.5664,7,26,57,32,222.77,312.01,100,1.99857,2329.86,14638.9,7319.46,172.123,243.607,5,0.888061,23.5439,1,93.1991,69.5459,1.09007,basal,IPL-near-AG
00100.swc,1923,12.5664,6,47,100,54,213.9,233.22,149.56,2.0407,3332.13,22166.6,12664.4,158.818,237.318,11,0.913277,18.22,1.03073,61.2686,55.9044,1.09156,other,IPL-near-AG
00101.swc,825,12.5664,7,20,45,26,177.56,207.92,84,1.99758,1130.4,7102.48,3551.24,132.738,182.868,5,0.879962,17.3111,1,89.929,75.6293,1.08654,basal,IPL-near-AG
00102.swc,1215,12.5664,4,24,50,27,176.18,194.12,127,1.99835,1692.14,10632,5316,158.212,263.303,7,0.863763,23.28,1,90.1395,52.8054,1.04597,basal,IPL-near-AG
00103.swc,1474,10568.3,11,35,79,45,234.6,234.6,140.89,2.31155,3286.58,32247.4,52295.9,165.685,192.075,5,0.92455,17.6456,0.710332,77.5883,55.5654,1.09729,other,IPL-near-AG
00104.swc,1897,12.5664,10,33,74,42,231.84,233.68,107,1.99895,2553.23,16042.4,8021.2,154.865,182.9,6,0.870797,24.6216,1,90.7409,62.3429,1.04876,basal,IPL-near-AG
00105.swc,551,12.5664,5,19,41,23,154.1,147.66,89,1.99637,815.032,5121,2560.5,115.978,146.296,7,0.913323,12.4146,1,76.7469,62.3086,1.08213,basal,IPL-near-AG
00106.swc,1134,12.5664,8,22,50,29,226.12,234.14,164.56,2.18987,2635.3,21801,31681.5,169.409,203.783,6,0.923775,21.66,2.04112,54.4752,66.5972,1.04723,other,IPL-near-AG
00107.swc,522,12.5664,3,13,27,15,150.42,101.2,117,1.99617,759.342,4771.09,2385.54,122.406,150.276,7,0.891576,18.2963,1,99.444,69.3485,1.05466,basal,IPL-near-AG
00108.swc,1686,6647.61,9,39,86,48,209.76,230.92,115,2.09113,2893.44,22473.6,21907.5,149.793,177.453,8,0.919099,18.593,0.751004,65.1738,54.879,1.10424,other,IPL-near-AG
00109.swc,1200,12.5664,8,35,76,42,224.94,145.36,120,1.99833,1797.61,11294.7,5647.36,125.265,162.473,8,0.901741,14.7763,1,84.1903,66.9812,1.05126,basal,IPL-near-AG
00110.swc,1248,12.5664,6,32,68,37,203.16,152.72,113,1.9984,1617.93,10165.7,5082.87,138.862,186.829,8,0.894476,17.3382,1,91.4164,66.4404,1.06202,other,IPL-near-AG
00111.swc,1438,12.5664,9,30,67,38,145.82,201.02,134,1.99861,2071.65,13016.6,6508.29,127.066,143.651,6,0.898781,20.4478,1,76.8677,60.5263,1.03663,other,IPL-near-AG
00112.swc,576,12.5664,5,13,29,17,207.92,126.5,88,1.99653,837.442,5261.81,2630.9,132.412,187.123,7,0.909539,18.8276,1,82.7978,68.5823,1.0277,basal,IPL-near-AG
00113.swc,639,12.5664,9,12,32,21,118.68,138.92,147,1.99687,1013.48,6367.88,3183.94,108.528,127.708,5,0.91736,18.9375,1,61.6194,59.6769,1.08009,basal,IPL-near-AG
00114.swc,1974,3216.99,9,52,111,60,299.75,234.78,136,2.21812,3687.97,30262,42049.1,183.705,211.84,10,0.921702,16.7748,0.929065,73.6589,65.8064,1.10295,apical,IPL-near-AG
00115.swc,1212,12.5664,6,21,46,26,212.98,191.82,107,1.99835,1702.09,10694.5,5347.27,136.337,210.697,5,0.885801,25.3261,1,89.3655,81.7098,1.0549,basal,IPL-near-AG
00116.swc,572,12.5664,7,13,31,19,219.88,67.16,81,1.9965,860.682,5407.82,2703.91,115.335,147.375,4,0.888126,17.4194,1,72.6663,64.2357,1.0486,basal,IPL-near-AG
00117.swc,1926,1520.53,7,40,85,46,307.11,186.96,166.889,2.06634,3418.1,23372.8,18867.4,189.423,221.312,10,0.910715,21.6471,0.947104,69.8642,53.1145,1.08759,apical,IPL-near-AG
00118.swc,2029,2123.72,9,43,94,52,299.14,268.7,161,2.16205,4058.75,30046.3,28544.5,179.634,229.539,6,0.921496,20.5745,0.946985,68.2017,60.5833,1.09646,other,IPL-near-AG
00119.swc,1801,7853.98,6,60,125,66,284.43,251.94,128,2.38765,3138.24,30412.1,88894.2,168.431,205.121,10,0.926249,13.4,0.935108,72.9074,57.1214,1.0841,other,IPL-near-AG
00120.swc,2494,2463.01,8,59,125,67,291.17,296.08,131,2.23287,4310.39,36485.5,77069.8,236.444,268.348,9,0.910495,18.944,0.959553,81.4458,56.7081,1.077,other,IPL-near-AG
00121.swc,2244,2827.43,6,58,121,64,310.79,296.08,123,2.11586,3831.48,28560,36688.3,186.563,267.898,13,0.918729,17.5372,0.944676,79.6598,61.1506,1.09884,apical,IPL-near-AG
00122.swc,4284,2827.43,7,95,195,101,310.18,312.97,153,2.0775,7037.98,48978.2,42492.6,207.777,256.682,11,0.919201,20.9641,0.997236,74.6303,59.4661,1.09944,apical,IPL-near-AG
00123.swc,1689,2827.43,7,39,83,45,205.62,208.84,112,2.19664,2463.65,19407.3,29745,134.471,175.573,8,0.902295,19.3373,0.962932,65.9485,64.8389,1.09257,other,IPL-near-AG
00124.swc,2584,3216.99,7,55,115,61,312.63,293.01,133,2.09445,4489.92,32344.9,30756.2,197.121,225.103,10,0.923221,21.4609,0.970685,69.0996,56.3937,1.07256,other,IPL-near-AG
00125.swc,1493,2827.43,6,30,64,35,302.21,249.49,136,2.17579,2689.05,20585.4,25406,199.075,233.028,11,0.918762,22.3125,0.865691,65.6614,60.6738,1.05948,other,IPL-near-AG
00126.swc,1751,2814.63,3,36,76,41,265.42,231.71,128,2.08754,2950.15,20473.9,15592.4,189.237,206.196,8,0.908547,22.0263,0.837943,74.9794,70.921,1.06407,basal,IPL-near-AG
00127.swc,574,12.5664,7,17,39,23,177.31,122.1,74,1.99652,939.229,5901.35,2950.68,150.777,173.886,4,0.90398,13.6923,1,83.088,74.1092,1.0792,basal,IPL-near-AG
00128.swc,672,12.5664,8,16,38,23,111.32,134.22,83.89,1.99702,992.141,6233.81,3116.9,95.3308,131.268,6,0.910872,16.6579,1,81.0618,68.5162,1.08138,other,IPL-near-AG
00129.swc,2573,4536.46,7,68,142,75,313,311.41,164,2.23615,4999.95,40501.5,61073.4,219.448,248.627,12,0.916251,17.1127,0.942111,61.6619,52.1522,1.08195,other,IPL-near-AG
00130.swc,2812,4536.46,7,54,113,60,312.63,277.69,163,2.14545,5087.93,38489.5,46499.4,204.585,255.078,8,0.916209,23.8761,1.04324,79.9256,59.3648,1.07784,other,IPL-near-AG
00131.swc,3367,2827.43,7,90,186,97,310.79,274.01,147,2.21572,6199.69,49759.2,67203.6,177.139,248.361,11,0.91747,17.0968,1.02893,68.423,59.4124,1.10456,other,IPL-near-AG
00132.swc,2221,1256.64,8,51,108,58,386.9,374.95,152,2.14261,5771.17,43520.5,39855.4,208.183,274.256,8,0.924957,19.5556,1.00684,63.5988,50.1709,1.07493,other,IPL-near-AG
00133.swc,2120,5026.55,8,51,108,58,312.63,308.61,129,2.27664,4154.13,33695.1,54942.8,207.549,267.166,12,0.917308,18.6204,0.920701,75.2764,58.6119,1.06517,other,IPL-near-AG
00134.swc,2303,4071.5,9,55,119,65,312.91,313.24,111,2.20563,4588.24,36038,42290.4,223.741,275.265,9,0.92301,18.3445,0.917133,75.4215,54.1715,1.09475,other,IPL-near-AG
00135.swc,2042,3631.68,10,57,122,66,313.24,311.4,129.929,2.21697,5064.18,39196,50203.1,212.469,246.826,8,0.926535,15.7295,0.930564,65.0252,56.7382,1.10468,apical,IPL-near-AG
00136.swc,1856,3216.99,8,46,98,53,311.75,307.11,89,2.16325,3578.06,27930.7,34217.2,198.404,235.695,9,0.927713,17.9286,0.963416,61.9996,51.7934,1.09018,other,IPL-near-AG
00137.swc,1348,12.5664,8,28,62,35,222.18,180.78,129,1.99852,1895.03,11906.8,5953.42,138.321,165.072,7,0.891292,20.7258,1,71.5894,63.8399,1.03962,other,IPL-near-AG
00138.swc,2006,12.5664,9,51,109,59,193.2,211.6,97,1.999,2897.6,18206.2,9103.09,126.774,165.988,8,0.903945,17.3945,1,82.7164,68.309,1.12944,apical,IPL-near-AG
00139.swc,814,12.5664,7,14,33,20,201.02,192.74,129,1.99754,1175.08,7383.26,3691.63,136.765,190.793,5,0.912192,23.6364,1,72.0659,69.9242,1.05195,apical,IPL-near-AG
00140.swc,899,12.5664,6,26,56,31,166.98,189.98,105,1.99778,1292.56,8121.38,4060.69,142.341,163.623,8,0.896705,15.0357,1,81.2302,65.4963,1.08388,apical,IPL-near-AG
